dia_mes_ano,hora_minuto,irr_inv,massaPM1,numPM1,massaPM2,numPM2,tamanho_medio,temp,vento_vel,vento_dir,P_DC,I_DC,V_DC,m
20200310,000900,0,4.65,38.39,0.16,0.1,0.43,23.48,15.66,125,0,0,0,112.995333595993
20200310,001900,0,4.43,36.5,0.15,0.1,0.46,23.46,13.96,108,0,0,0,113.012056369453
20200310,002900,0,4.64,38.27,0.16,0.11,0.45,23.38,16.23,90,0,0,0,113.031816677668
20200310,003900,0,4.5,37.11,0.15,0.1,0.46,23.36,14.1,90,0,0,0,113.048866352611
20200310,004900,0,3.93,32.45,0.13,0.09,0.46,23.52,15.69,81,0,0,0,113.066298169936
20200310,005900,0,3.96,32.67,0.13,0.09,0.45,23.34,11.97,121.5,0,0,0,113.079659631109
20200310,010900,0,3.87,31.96,0.13,0.09,0.47,23.39,15.29,103.5,0,0,0,113.09650174305
20200310,011900,0,3.99,32.89,0.13,0.09,0.46,23.23,12.9,117,0,0,0,113.110959480655
20200310,012900,0,4.01,33.06,0.13,0.09,0.45,23.07,11.17,99,0,0,0,113.123549310447
20200310,013900,0,5.74,47.37,0.19,0.13,0.47,22.81,10.91,99,0,0,0,113.140115909461
20200310,014900,0,25.33,208.98,0.84,0.57,0.5,22.46,8.51,121.5,0,0,0,113.202287947753
20200310,015900,0,30.76,253.76,1.02,0.7,0.5,22.32,9.04,101,0,0,0,113.278428742783
20200310,020900,0,18.84,155.41,0.63,0.43,0.5,22.11,7.05,90,0,0,0,113.322978420727
20200310,021900,0,11.77,97.13,0.39,0.27,0.49,21.7,5.59,90,0,0,0,113.348492398642
20200310,022900,0,5.67,46.83,0.19,0.13,0.47,22.02,5.72,112.5,0,0,0,113.359135926592
20200310,023900,0,4.21,34.77,0.14,0.1,0.47,22.06,6.65,94.5,0,0,0,113.367213985063
20200310,024900,0,3.86,31.87,0.13,0.09,0.46,22.01,3.86,108,0,0,0,113.371315889014
20200310,025900,0,4.01,33.06,0.13,0.09,0.49,22,6.25,121.5,0,0,0,113.378441680919
20200310,030900,0,4.31,35.53,0.14,0.1,0.47,21.77,3.33,135,0,0,0,113.383039495651
20200310,031900,0,4.32,35.62,0.14,0.1,0.47,21.58,5.05,108,0,0,0,113.389594474614
20200310,032900,0,4.21,34.77,0.14,0.1,0.46,21.24,3.86,144,0,0,0,113.394558638358
20200310,033900,0,4.27,35.24,0.14,0.1,0.47,20.91,0.4,135,0,0,0,113.395823253363
20200310,034900,0,4.01,33.11,0.13,0.09,0.47,20.76,0.8,130.5,0,0,0,113.396892225343
20200310,035900,0,3.94,32.55,0.13,0.09,0.46,20.69,0.66,130.5,0,0,0,113.397644760471
20200310,040900,0,3.92,32.33,0.13,0.09,0.46,20.56,1.2,135,0,0,0,113.398919271224
20200310,041900,0,3.79,31.29,0.13,0.08,0.46,20.39,0,135,0,0,0,113.398556602092
20200310,042900,0,3.83,31.55,0.13,0.09,0.46,19.76,0,135,0,0,0,113.398270160876
20200310,043900,0,3.98,32.86,0.13,0.09,0.47,19.56,0,135,0,0,0,113.39837879837
20200310,044900,0,3.8,31.34,0.13,0.09,0.46,19.18,0,135,0,0,0,113.39802561086
20200310,045900,0,4.58,37.79,0.15,0.1,0.47,19.2,0.66,130.5,0,0,0,113.400343633146
20200310,050900,0,6.39,52.71,0.21,0.15,0.5,19.88,1.33,130.5,0,0,0,113.40785507021
20200310,051900,0,6.59,54.32,0.23,0.16,0.52,20.14,0,130.5,0,0,0,113.414388652035
20200310,052900,0,6.74,55.57,0.23,0.16,0.51,20.27,0,135,0,0,0,113.421295907288
20200310,053900,0,6.53,53.83,0.22,0.15,0.48,19.6,0,135,0,0,0,113.427648525382
20200310,054900,8.8,6.72,55.44,0.22,0.15,0.48,19.39,0,117,62.63,0.13,489.98,113.434485617729
20200310,055900,16.3,7.01,57.86,0.23,0.16,0.5,20.04,2.33,130.5,127.07,0.24,523.86,113.444641727001
20200310,060900,29.4,7.24,59.71,0.24,0.16,0.5,23.36,0,130.5,235.46,0.42,563.58,113.452783336221
20200310,061900,49.7,7.4,61.05,0.25,0.17,0.49,25.74,1.6,112.5,391.87,0.68,576.02,113.463090598117
20200310,062900,78.3,5.83,48.07,0.19,0.13,0.48,26.66,3.59,85.5,595.18,1.03,578.5,113.471737113933
20200310,063900,112.1,5.04,41.63,0.17,0.12,0.47,26.9,5.45,85.5,920.43,1.73,533.22,113.480523706169
20200310,064900,152.5,4.21,34.71,0.14,0.09,0.47,27.48,6.12,117,1286.12,2.38,537.24,113.487990080969
20200310,065900,195.8,3.76,31.04,0.13,0.09,0.47,28.35,8.38,72,1749.61,3.1,564.7,113.496886412013
20200310,070900,241.5,3.56,29.36,0.12,0.08,0.46,28.91,8.38,99,2200.31,3.87,568.95,113.505277439369
20200310,071900,288.6,3.4,28.07,0.11,0.08,0.48,29.71,8.38,99,2657.93,4.67,569.26,113.513280421905
20200310,072900,335.4,3.24,26.72,0.11,0.07,0.47,28.96,16.09,108,3099.53,5.51,562.56,113.529461234228
20200310,073900,383.3,3.42,28.2,0.11,0.08,0.46,28.83,17.69,101,3540.34,6.32,560.33,113.547865272915
20200310,074900,425.9,4.24,34.94,0.14,0.1,0.47,29.65,11.84,103.5,3903.5,7.02,556.44,113.561772831375
20200310,075900,474.8,5.54,45.7,0.18,0.13,0.45,29.9,15.96,90,4312.81,7.8,552.61,113.583472303275
20200310,080900,521.7,3.25,26.82,0.11,0.07,0.49,29.15,19.15,108,4730.61,8.58,551.23,113.603089548854
20200310,081900,565.5,2.44,20.16,0.08,0.06,0.48,28.98,23.01,117,5088.22,9.27,548.7,113.625015315267
20200310,082900,607,3.36,27.76,0.11,0.08,0.46,29.66,23.41,90,5315.98,9.99,532.08,113.649664949612
20200310,083900,649.1,2.79,23.04,0.09,0.06,0.47,30,15.96,85.5,5761.23,10.66,540.55,113.664608955377
20200310,084900,689.8,2.5,20.63,0.08,0.06,0.47,30.3,13.43,76.5,6061.87,11.36,533.53,113.676021908011
20200310,085900,727.4,2.48,20.47,0.08,0.06,0.46,30.04,12.5,90,6303.84,11.93,528.31,113.686342638405
20200310,090900,763.8,2.59,21.34,0.09,0.06,0.46,29.89,17.96,94.5,6620.49,12.5,529.49,113.702996216688
20200310,091900,799.9,2.6,21.43,0.08,0.06,0.45,30.86,21.41,103.5,6895.67,13.1,526.35,113.723533400298
20200310,092900,832.5,2.36,19.46,0.08,0.06,0.44,30.86,22.61,81,7112.4,13.6,522.9,113.74479903863
20200310,093900,865.6,2.4,19.76,0.08,0.05,0.43,30.75,19.29,67.5,7362.94,14.1,522.31,113.762456894698
20200310,094900,896.5,2.58,21.25,0.08,0.06,0.45,30.63,17.29,94.5,7583.33,14.63,518.3,113.778336907459
20200310,095900,923.7,2.56,21.15,0.08,0.06,0.47,30.02,20.08,90,7826.89,15.06,519.83,113.797288903796
20200310,100900,944.6,2.29,18.92,0.08,0.05,0.45,31.05,19.42,76.5,7780,15.42,504.91,113.814851151981
20200310,101900,960.5,2.46,20.34,0.08,0.06,0.43,30.75,17.96,117,8011.33,15.67,511.19,113.831195698441
20200310,102900,988.3,2.45,20.24,0.08,0.06,0.44,31.18,19.55,103.5,8170.57,16.14,506.16,113.849294265846
20200310,103900,999.6,2.35,19.39,0.08,0.06,0.44,31.46,12.64,146,8156.76,16.18,504.06,113.859441591444
20200310,104900,1019.7,2.4,19.83,0.08,0.06,0.45,31.44,24.47,94.5,8304.63,16.18,513.54,113.882891033909
20200310,105900,1036.3,2.15,17.73,0.07,0.05,0.44,31.89,16.89,49.5,8293.94,16,518.93,113.897278669978
20200310,110900,1039.7,3.65,30.1,0.12,0.08,0.44,31.66,18.09,76.5,8392.17,16.59,506.04,113.916685673846
20200310,111900,1050.6,3.4,28.03,0.11,0.08,0.45,32.35,11.17,108,8411.47,16.52,509.12,113.92778619426
20200310,112900,1054.9,3.1,25.62,0.1,0.07,0.43,31.7,16.36,94.5,8408.95,16.22,518.57,113.943924314048
20200310,113900,1041.1,4.55,37.52,0.15,0.1,0.44,31.71,13.17,99,8346.87,16.47,507.03,113.960079100724
20200310,114900,1046.7,4.66,38.4,0.16,0.1,0.41,32.61,15.56,81.75,8390.02,16.57,506.5,113.979166562491
20200310,115900,1062.1,4.13,34.11,0.14,0.1,0.42,32.04,14.63,117,8419.69,16.36,514.62,113.99591779202
20200310,120900,1063.9,4.21,34.75,0.14,0.1,0.42,32.21,9.31,148.5,8411.98,16.37,514.07,114.006952536142
20200310,121900,975.4,3.69,30.41,0.12,0.08,0.43,32.36,8.25,128,7669.25,15.09,506.06,114.015505000992
20200310,122900,953.9,5.82,48,0.19,0.13,0.42,32.34,10.11,148.5,7686,15,510.99,114.031377244867
20200310,123900,1035.3,6.05,49.94,0.2,0.14,0.43,33.24,13.43,110.25,8054.92,16.21,496.04,114.051548014767
20200310,124900,845.5,7.3,60.24,0.24,0.17,0.41,32.92,12.37,148.5,6844.6,13.63,503.58,114.073599109911
20200310,125900,1025.1,7.32,60.39,0.24,0.17,0.42,33.58,9.71,132.5,8186.91,16.31,502.18,114.092750095874
20200310,130900,1013,7.96,65.63,0.26,0.18,0.42,33.04,9.58,112.5,8041.89,16.2,496.42,114.113297307924
20200310,131900,296.2,7.95,65.6,0.26,0.18,0.42,32.26,9.84,112.5,2369.32,4.72,505.22,114.134133656508
20200310,132900,631.3,6.35,52.4,0.21,0.15,0.42,31.32,7.85,135,5174.81,9.34,548.13,114.148798174804
20200310,133900,974.7,5.68,46.84,0.19,0.13,0.42,33.02,13.83,148.5,7961.65,15.53,512.74,114.168497971957
20200310,134900,945.8,6.89,56.86,0.23,0.16,0.42,33.2,14.5,130.5,7647.82,15.09,506.77,114.191923509623
20200310,135900,892.6,6.68,55.11,0.22,0.15,0.42,33.46,11.04,153,7233.84,14.21,509.19,114.210970527082
20200310,140900,865.9,8.18,67.45,0.27,0.19,0.43,33.91,11.17,157.5,7033.23,13.73,512.1,114.233857747567
20200310,141900,842,7.08,58.4,0.24,0.16,0.41,35.68,8.38,153,6827.02,13.35,511.49,114.250936880362
20200310,142900,795.3,8.05,66.39,0.27,0.18,0.4,36.41,8.64,135,6465.65,12.6,512.99,114.270693394938
20200310,143900,755.6,8.01,66.05,0.27,0.18,0.41,34.81,14.1,117,6212.51,11.94,520.42,114.29640260297
20200310,144900,729.95,7.17,59.19,0.24,0.16,0.42,35.84,8.51,99,5960.18,11.44,520.87,114.313859233924
20200310,145900,681.4,6.25,51.55,0.21,0.14,0.41,36.78,6.65,130.5,5575.32,10.7,521.2,114.326958913072
20200310,150900,660.6,5.6,46.2,0.19,0.13,0.41,36.17,6.12,175.5,5418.41,10.32,524.94,114.337853810916
20200310,151900,622.4,5.22,43.09,0.17,0.12,0.42,36.51,7.58,166.5,5092.46,9.7,525.23,114.349456710732
20200310,152900,581.8,3.31,27.3,0.11,0.08,0.45,36.38,6.52,153,4710.88,9,523.71,114.35514651507
20200310,153900,542.7,2.37,19.53,0.08,0.05,0.46,36.88,7.85,130.5,4407.85,8.35,527.76,114.360002017987
20200310,154900,509.2,2.47,20.34,0.08,0.06,0.44,36.86,7.85,144,4095.33,7.81,524.23,114.365098207493
20200310,155900,462.8,2.04,16.85,0.07,0.05,0.43,36.43,6.92,139.5,3695.37,7.05,523.94,114.368108097015
20200310,160900,415.9,2.08,17.13,0.07,0.05,0.44,35.73,10.91,90,3312.32,6.32,523.9,114.375645635354
20200310,161900,372.9,2.19,18.05,0.07,0.05,0.43,37.63,6.92,108,2893.1,5.6,516.54,114.379036640597
20200310,162900,323.7,2.07,17.06,0.07,0.05,0.44,35.12,11.3,121.5,2489.63,4.86,511.97,114.386981458156
20200310,163900,274.6,2.13,17.61,0.07,0.05,0.42,34.38,13.3,108,2056.28,4.06,505.99,114.397325277027
20200310,164900,224.4,2.14,17.7,0.07,0.05,0.44,34.08,10.11,112.5,1616.55,3.24,499.22,114.404144396608
20200310,165900,176.2,2.49,20.52,0.08,0.06,0.45,33.06,6.12,139.5,861.87,2.29,367.99,114.40736015985
20200310,170900,102.9,3.67,30.28,0.12,0.08,0.44,30.79,5.05,157.5,326.42,0.93,412.19,114.412292863886
20200310,171900,30.3,4.09,33.73,0.14,0.09,0.45,29.8,6.12,126,239.48,0.48,499.16,114.419458885783
20200310,172900,23.8,3.25,26.79,0.11,0.07,0.45,29.21,7.58,117,190.09,0.38,499.05,114.426174787144
20200310,173900,18.8,5.43,44.8,0.18,0.12,0.47,28.87,6.52,135,149.84,0.3,491.14,114.437096907781
20200310,174900,12.8,5.84,48.18,0.19,0.13,0.47,28.46,5.72,130.5,100.97,0.21,479.56,114.44813882344
20200310,175900,3,4.98,41.05,0.17,0.11,0.49,28.29,6.78,130.5,30.84,0.07,431.98,114.458243999097
20200310,180900,0,3.53,29.15,0.12,0.08,0.48,28.33,3.19,153,2.08,0,463.24,114.460784245476
20200310,181900,0,3.54,29.16,0.12,0.08,0.46,27.91,6.25,135,0,0,268.82,114.466741178853
20200310,182900,0,3.64,30.02,0.12,0.08,0.46,27.73,4.26,162,0,0,52.76,114.470729087287
